VOO
VTI
VEA
BND
VWO
VTV
VUG
VIG
BNDX
VNQ
VCIT
BSV
VYM
VCSH
VO
VGT
VB
VEU
VXUS
VV
BIV
VMBS
VT
VGK
VBR
VHT
VGSH
VTIP
VBK
VOE
VTEB
VXF
VGIT
VOT
BLV
VFH
VDC
MGK
VSS
VNQI
VCLT
VPU
VONG
VPL
VOOG
VIS
MGV
VGLT
VCR
MGC
VONV
VOX
VDE
VWOB
EDV
VIGI
VAW
VTWO
VYMI
VONE
VOOV
ESGV
VIOO
IVOO
VSGX
IVOG
IVOV
VTHR
BNDW
VTC
VIOV
VIOG
VTWG
VTWV
VFMV
VFVA
VFMF
VFLQ
VFMO
VFQY
